,pageid,title,category,label,language,text,links
0,22986,Politics,Politics,3,en,"Politics (from Greek: Πολιτικά, politiká, 'affairs of the cities') is the set of activities that are associated with making decisions in groups, or other forms of power relations among individuals, such as the distribution of resources or status. The branch of social science that studies politics and government is referred to as political science. 
Politics also goes hand in hand with the concept of power. Power, in any form of politics, is of utmost importance, without power, politicians wouldn't be able to enforce rulings on a population. Power concerns being able to get others to do/act as other people would like them to. Power can be enforced in a number of different ways, power, of course, cannot be assumed unless the people with power have something strong to back up their rulings. Sometimes, force is used to provoke obedience (coercion), while a legitimate government will often not need to resort to means of force. People are likely to comply with the law simply because they believe the government to be making the correct decisions. Coercion and legitimacy work in tandem to maintain obedience.

It may be used positively in the context of a ""political solution"" which is compromising and nonviolent, or descriptively as ""the art or science of government"", but also often carries a negative connotation. For example, abolitionist Wendell Phillips declared that ""we do not play politics; anti-slavery is no half-jest with us."" The concept has been defined in various ways, and different approaches have fundamentally differing views on whether it should be used extensively or limitedly, empirically or normatively, and on whether conflict or co-operation is more essential to it.
A variety of methods are deployed in politics, which include promoting one's own political views among people, negotiation with other political subjects, making laws, and exercising force, including warfare against adversaries. Politics is exercised on a wide range of social levels, from clans and tribes of traditional societies, through modern local governments, companies and institutions up to sovereign states, to the international level. In modern nation states, people often form political parties to represent their ideas. Members of a party often agree to take the same position on many issues and agree to support the same changes to law and the same leaders. An election is usually a competition between different parties.
A political system is a framework which defines acceptable political methods within a society. The history of political thought can be traced back to early antiquity, with seminal works such as Plato's Republic and Aristotle's Politics in the West, and Confucius's political manuscripts and Chanakya's Arthashastra in the East.","[11887, 265752, 191253, 147885, 10368228, 201503, 26781, 24388, 376964, 442525, 22083, 18949668, 140339, 33158, 245632, 45413, 52786, 4918223, 23604120, 82533, 21627, 23996, 9457, 258724, 15933474, 22954, 1607411, 308, 1692804, 5823, 481604, 613818]"
1,38211935,Outline of political science,Politics,3,en,"The following outline is provided as an overview of and topical guide to politics and political science:

Politics – the exercise of power; process by which groups of people make collective decisions. Politics is the art or science of running governmental or state affairs (including behavior within civil governments), institutions, fields, and special interest groups such as the corporate, academic, and religious segments of society.
Political science – the field concerning the theory and practice of politics and the description and analysis of political systems and political behavior.","[976531, 22986, 16833931, 12229, 7485, 149170, 25414, 24388, 22986, 258724, 28561, 5253, 221570, 28561]"
2,1710895,Action alert,Politics,3,en,"An action alert is a message that an organization sends to mobilize people, often members of the group and supporters of a specific point of view, calling on them to take action to influence public policy. Typically, action alerts are in reference to a timely issue, where prompt action is needed in order to affect upcoming decisions.",[18947898]
3,651934,Anti-incumbency,Politics,3,en,"Anti-incumbency is sentiment in favor of voting out incumbent politicians. It is sometimes referred to as a ""throw the bums out"" sentiment. Periods of anti-incumbent sentiment are typically characterized by wave elections. This sentiment can also lead to support for term limits.
In a two-party system, anti-incumbent voters have only one party to vote for, when voting against the incumbent; in a multi-party system, public mood, i.e., the tendency of opinions held by voters over a set of related policy issues, can determine which parties receive the anti-incumbent vote.","[364022, 43136575, 505825, 31605, 233475, 216170]"
4,1414677,Comparative politics,Politics,3,en,"Comparative politics is a field in political science characterized either by the use of the comparative method or other empirical methods to explore politics both within and between countries. Substantively, this can include questions relating to political institutions, political behavior, conflict, and the causes and consequences of economic development. When applied to specific fields of study, comparative politics may be referred to by other names, such as comparative government (the comparative study of forms of government).","[24388, 2041141, 294833, 37123, 148131, 12229]"
5,1997407,Criminalization,Politics,3,en,"Criminalization or criminalisation, in criminology, is ""the process by which behaviors and individuals are transformed into crime and criminals"". Previously legal acts may be transformed into crimes by legislation or judicial decision. However, there is usually a formal presumption in the rules of statutory interpretation against the retrospective application of laws, and only the use of express words by the legislature may rebut this presumption. The power of judges to make new law and retrospectively criminalise behaviour is also discouraged. In a less overt way, where laws have not been strictly enforced, the acts prohibited by those laws may also undergo de facto criminalization through more effective or committed legal enforcement.  The process of criminalization takes place through societal institutions including schools, the family, and the criminal justice system.","[34154970, 5785, 51913, 1947778, 298262]"
6,64102083,Critical juncture theory,Politics,3,en,"Critical juncture theory focuses on critical junctures, i.e., large, rapid, discontinuous changes, and the long-term causal effect or historical legacy of these changes.
Critical junctures are turning points that alter the course of evolution of some entity (e.g., a species, a society). Critical juncture theory seeks to explain both (1) the historical origin and maintenance of social order, and (2) the occurrence of social change through sudden, big leaps.Critical juncture theory is not a general theory of social order and change. It emphasizes one kind of cause (involving a big, discontinuous change) and kind of effect (a persistent effect). Yet, it challenges some common assumptions in many approaches and theories in the social sciences. The idea that some changes are discontinuous sets it up as an alternative to (1) ""continuist"" or ""synechist"" theories that assume that change is always gradual or that natura non facit saltus – Latin for ""nature does not make jumps."" The idea that such discontinuous changes have a long-term impact stands in counterposition to (2) ""presentist"" explanations that only consider the possible causal effect of temporally proximate factors.Theorizing about critical junctures began in the social sciences in the 1960s. Since then, it has been central to a body of research in the social sciences that is historically informed. Research on critical junctures in the social sciences is part of the broader tradition of comparative historical analysis and historical institutionalism. It is a tradition that spans political science, sociology and economics. Within economics, it shares an interest in historically oriented research with the new economic history or cliometrics. Research on critical junctures is also part of the broader ""historical turn"" in the social sciences.","[37196, 216186, 396418, 329948, 30746, 26781, 1974091, 11877, 7135198, 1208460, 13433884, 4118642, 24388, 18717981, 9223, 45633, 438469]"
7,362102,Crossing the floor,Politics,3,en,"In parliamentary systems, politicians are said to cross the floor if they formally change their affiliation to a second party after being elected as a member of a first party (as is the case in Canada and the United Kingdom), or voting against the approved party lines.
Voting against party lines may lead to consequences such as losing a position (e.g., as minister or a portfolio critic) or being ejected from the party caucus. While these practices are legally permissible in most countries, crossing the floor can lead to controversy and media attention. Some countries like India, the Maldives and Bangladesh have laws that remove a member from parliament due to floor-crossing.","[182113, 1910846, 5042916, 31717, 5892969, 14533, 19117, 3454]"
8,59626904,Delaying tactic,Politics,3,en,"A delaying tactic or delay tactic is a strategic device sometimes used during business, diplomatic or interpersonal negotiations, in which one party to the negotiation seeks to gain an advantage by postponing a decision.  Someone uses a delaying tactic when they expect to have a stronger negotiating position at a later time. They may also use a delaying tactic when they prefer the status quo to any of the potential resolutions, or to impose costs on the other party to compel them to accept a settlement or compromise. Delay tactics are also sometimes used as a form of indirect refusal wherein one party postpones a decision indefinitely rather than refusing a negotiation outright. To use a delaying tactic, the delaying party must have some form of control over the decision-making process.",[]
9,53105040,Democratic intervention,Politics,3,en,"A democratic intervention is a military intervention by external forces with the aim of assisting democratization of the country where the intervention takes place. Examples include intervention in Afghanistan and Iraq. Democratic intervention has occurred throughout the mid-twentieth century, as evidenced in Japan and Germany after World War II, where democracies were imposed by military intervention.Democratic intervention can be facilitated by the mechanisms of military aggression but can also involve non-aggressive methods. The legal grounds for democratic intervention remain disputed and surround the tension between narrow legislative interpretations and the weak binding nature of international law regimes.States engage in democratic intervention for a variety of reasons, ranging from national interests to international security. Proponents of democratic intervention acknowledge the superiority of democracies to autocratic regimes in facets of peace, economics and human rights. Criticisms of democratic intervention surround the infringement of state sovereignty of the country where the intervention takes place and the failure of democratic intervention to consider a nation's cultural complexities.Western liberal democracies like the United States (US) are in favor of democratic intervention while other countries such as China and North Korea view it as a mechanism of furthering the hegemony of an intervening state.","[1958801, 331299, 1958801, 7515928, 87995, 2949977, 32927, 7959, 51913, 8195726, 50123, 24702, 4019188, 19159508, 21255, 53451]"
